pos,breeder,pigeon,name,color,sex,ent,arrival,speed,to_win,eligible
1,Texas Outlaws,19633-AU15-FOYS,,BCWF,H,1,42:14.0,172.155,0:00:00,Yes
2,Junior Juanich,0402-AU15-JRL,,SIWF,H,1,47:36.0,163.569,0:05:21,Yes
3,Jerry Allensworth,0404-AU15-VITA,Perch Potato,BB,H,1,47:41.0,163.442,0:05:27,Yes
4,Alias-Alias,2013-AU15-ALIA,,BBSP,H,1,47:43.0,163.392,0:05:28,Yes
5,Greg Glazier,5749-AU15-SLI,,BC,H,1,47:44.0,163.366,0:05:30,Yes
6,Dal-Tex R P C,0032-AU15-DRPC,,BC,H,1,47:51.0,163.19,0:05:36,Yes
7,Greg Glazier,5768-AU15-SLI,,BBWF,C,2,47:53.0,163.139,0:05:39,Yes
8,N C Syndicate,1067-AU15-TXHC,,BC,H,1,47:57.0,163.038,0:05:43,Yes
9,Baldwin & Tilson,1194-AU15-TENT,,BB,H,1,48:02.0,162.913,0:05:47,Yes
10,Texas Outlaws,19632-AU15-FOYS,,BC,H,2,48:03.0,162.888,0:05:48,Yes
10,Redtex,0024-AU15-RTEX,,RED,H,1,48:03.0,162.888,0:05:48,Yes
12,Terry Montgomery,0220-AU15-MTHD,,BC,H,1,48:08.0,162.762,0:05:53,Yes
13,Woodsend/Perry,1512-AU15-CERO,,RC,H,1,48:11.0,162.687,0:05:56,Yes
14,Crestview Loft,25360-AU15-ARPU,,BBSP,H,1,48:12.0,162.662,0:05:57,Yes
14,Goshentown Lofts,5834-AU15-VITA,,BB,H,1,48:12.0,162.662,0:05:57,Yes
16,Flyhome Loft,1531-AU15-FLYH,,BB,H,1,48:15.0,162.587,0:06:00,Yes
17,Alias-Alias,2020-AU15-ALIA,,BBSP,H,2,48:16.0,162.562,0:06:01,Yes
18,Skip's Janssens,5313-AU15-GL,,BCWF,H,1,48:17.0,162.537,0:06:02,Yes
18,Bud & Orie Loft,51161-IF15-IRPC,,BLK,H,1,48:17.0,162.537,0:06:02,Yes
20,Milner-Mckinsey,2488-AU15-VITA,,BBWF,C,1,48:21.0,162.437,0:06:06,Yes
21,Shawnie & Lenny Loft,1106-AU15-SMCC,,BC,H,1,48:28.0,162.262,0:06:13,Yes
22,Nanez Family Lofts,2177-AU15-NANE,,BBWF,H,1,48:30.0,162.212,0:06:15,Yes
23,Dal-Tex R P C,0031-AU15-DRPC,,BC,H,2,48:31.0,162.187,0:06:16,Yes
24,Jb & D,1214-IF15-CCC,,BB,H,1,48:36.0,162.063,0:06:21,Yes
25,Silver Dollar Loft,0101-AU15-SDOL,,BC,H,1,48:37.0,162.038,0:06:22,Yes
26,Protege Loft,0022-IF15-PROT,,BC,H,1,48:39.0,161.988,0:06:24,Yes
27,Mike Belus,22304-AU15-JEDD,,BBWF,H,1,48:42.0,161.914,0:06:27,Yes
28,Sierra Ranch Classic,0540-AU15-SIER,,BBWF,H,1,48:44.0,161.864,0:06:29,Yes
29,A P C Loft,15096-AU15-APC,,GRZL,H,1,48:45.0,161.839,0:06:30,Yes
30,Churn Creek Loft,9216-AU15-SRP,,BB,H,1,48:48.0,161.765,0:06:33,Yes
