year,fisher_type,chinook,coho,chum,pink,sockeye,steelhead,jacks,unknown,total_by_fish
1974,Sport,491034,790981,4311,159,8863,116829,25072,,1437249
1974,Non-Treaty,464073,1619193,289429,1170,2452416,927,,,4827208
1974,Treaty,142707,479473,173059,25,59857,4885,,,860006
1975,Sport,616975,701721,771,21284,639,67932,57497,488,1467307
1975,Non-Treaty,443682,1368932,135052,1301226,1558893,,,,4807785
1975,Treaty,227073,454455,80625,105227,133661,,,,1001041
1976,Sport,503877,1195579,3024,722,673,84876,44130,1555,1834436
1976,Non-Treaty,505866,1786393,524491,1353,1223641,,,,4041744
1976,Treaty,267965,345912,298825,42,110508,12066,,,1035318
1977,Sport,398494,683108,1362,53883,13689,158005,38155,2723,1349419
1977,Non-Treaty,441063,1223728,288897,2134649,1475350,2,,,5563689
1977,Treaty,210349,469152,183007,180169,396242,20333,,,1459252
1978,Sport,356653,713219,1975,465,219,121029,32302,3019,1228881
1978,Non-Treaty,289504,954439,788657,1322,1138813,1,,,3172736
1978,Treaty,209108,471496,504147,74,256254,18100,,,1459179
1979,Sport,389230,601078,1640,99135,267,134724,30373,2086,1258533
1979,Non-Treaty,253591,962241,23201,3943402,1374546,,,,6556981
1979,Treaty,183565,548897,106908,760125,429008,15401,,,2043904
1980,Sport,311290,460740,1596,222,43248,114156,23243,12540,967035
1980,Non-Treaty,288301,901781,547250,516,271590,9,,,2009447
1980,Treaty,218011,893498,470279,332,284805,20802,,,1887727
1981,Sport,265976,426895,1790,39308,135,114309,24825,1186,874424
1981,Non-Treaty,213634,676950,252858,2957170,756605,18,,,4857235
1981,Treaty,216860,552483,289225,1177748,570842,23281,,,2830439
1982,Sport,248745,443034,1314,37,13097,95907,25054,5645,832833
1982,Non-Treaty,257460,782838,640583,96,1476258,,,,3157235
1982,Treaty,216282,936527,478372,78,1407535,25206,,,3064000
1983,Sport,264978,505515,1153,21110,26309,101463,37652,3906,962086
1983,Non-Treaty,116328,375619,272954,1131108,180753,,,,2076762
1983,Treaty,183268,641091,283942,820667,221169,26989,,,2177126
1984,Sport,213462,272962,1395,79,45006,175377,24427,5051,737759
1984,Non-Treaty,121591,437478,365984,13,855916,2,,,1780984
1984,Treaty,207977,592627,412433,82,857194,2368,,,2072681
1985,Sport,196132,386288,556,54737,3828,137076,39742,5050,823409
